Datetime,Tweet Id,Text,Username,url,replyCount,retweetCount,likeCount,lang
2021-11-18 19:25:11+00:00,1461415204454023171,Get ready to join the family business. #TheManySaintsofNewark is available to own tomorrow. https://t.co/0GJMiKB3Kq,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1461415204454023171,5,6,49,en
2021-11-16 17:37:16+00:00,1460663272739381250,"“You’re a wizard, Harry!” Today marks 20 years since the theatrical release of Harry Potter and the Sorcerer’s Stone. Here’s to every Hogwarts lesson, every Quidditch match, and every bit of magic brought to life 💫 #20YearsOfMovieMagic https://t.co/EisUeONcN0",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1460663272739381250,17,124,521,en
2021-11-15 21:00:14+00:00,1460351963586043920,"One more day until we journey back to Middle-earth with the 6 Film Ultimate Collector's Edition, containing both The Hobbit and The Lord of the Rings trilogies, available to own on Digital and 4K Ultra HD tomorrow. https://t.co/TPEjKt2xkK",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1460351963586043920,10,18,139,en
2021-11-15 19:39:13+00:00,1460331572331266050,"Don't miss what critics are calling the ""best horror movie of the year."" Own #MalignantMovie on Digital now &amp; Blu-ray 11/30.
https://t.co/snCzPllpNt https://t.co/PPhV59zYAb",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1460331572331266050,1,7,55,en
2021-11-15 19:34:14+00:00,1460330321317146629,Did you know Space Jam premiered in theaters exactly 25 years ago today?! Props to the film that started it all 🙌 Here’s to another 25 years of Tune Squad excellence. @LooneyTunes #SpaceJam25th https://t.co/Vl43LGxp4q,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1460330321317146629,17,52,235,en
2021-11-14 19:00:04+00:00,1459959334247579656,Weekend watch recommendation — Batman: Mask of the Phantasm. What's your favorite scene in this animated classic? https://t.co/oKciBLnzqj,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1459959334247579656,20,24,233,en
2021-11-13 19:00:17+00:00,1459596999225978891,Own #TheMatrix Trilogy on Digital today. Watch #TheMatrixResurrections in Theaters and on HBO Max 12.22.21,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1459596999225978891,1,11,60,en
2021-11-13 19:00:16+00:00,1459596994478059528,"""You have to see it for yourself."" https://t.co/OdaQ1JpGqa",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1459596994478059528,5,39,218,en
2021-11-13 17:01:27+00:00,1459567092936568833,Continue the #20YearsofMovieMagic celebration at home and download the Harry Potter and the Sorcerer’s Stone activity pack now: https://t.co/Mw10mV2VLc,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1459567092936568833,0,5,38,en
2021-11-13 17:00:01+00:00,1459566734071848964,"Finish up the term with the end-of-year feast and relive all the magical moments with the director of Harry Potter and the Sorcerer’s Stone, Chris Columbus! https://t.co/BHIs4UNt0C",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1459566734071848964,7,22,166,en
2021-11-11 19:25:21+00:00,1458878531665121288,Own #TheMatrix Trilogy on Digital today. Watch #TheMatrixResurrections in Theaters and on HBO Max 12.22.21,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1458878531665121288,5,10,79,en
2021-11-11 19:25:20+00:00,1458878527256862732,Trinity. https://t.co/mZgdyCXjmU,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1458878527256862732,25,273,1702,en
2021-11-11 17:00:09+00:00,1458841990788005893,"Take a step into the Wizarding World and experience a journey like no other 💫 Additional tickets are now available for #HarryPotterVR experiences, Chaos at Hogwarts and Wizards Take Flight - Only at @harrypotterny. 

Book yours today: https://t.co/ylNRhXHv4A https://t.co/fwz2gXPEQO",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1458841990788005893,4,9,168,en
2021-11-09 23:46:45+00:00,1458219539993219077,"Surprise!! Now you can own DC's Legends of Tomorrow Season 6 on Digital, DVD &amp; Blu-ray: https://t.co/5J7YeAzjfO https://t.co/dkRiUMKmZt",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1458219539993219077,5,4,68,en
2021-11-09 21:00:22+00:00,1458177670580219905,"""I'm looking for someone to share in an adventure."" In one week, revisit Middle-earth with the 6 Film Ultimate Collector's Edition, containing both The Hobbit and The Lord of the Rings trilogies, available to own on Digital and 4K Ultra HD 11/16. https://t.co/XhPt5f8kpT",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1458177670580219905,7,24,120,en
2021-11-09 20:30:15+00:00,1458170087488294921,They're always watching. https://t.co/IiAg1EJsIx,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1458170087488294921,40,257,1534,en
2021-11-09 19:00:14+00:00,1458147436501819404,"Stay gold. The Outsiders: The Complete Novel is available to own now on 4K Ultra HD and Digital.
https://t.co/66HYnGHKly https://t.co/9IZ0YxbGuZ",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1458147436501819404,2,16,71,en
2021-11-09 18:00:16+00:00,1458132345458921474,The mind is a mysterious place. #Reminiscence is available to own on Digital and Blu-ray now. https://t.co/AXBZabkl7a https://t.co/oul754v0DC,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1458132345458921474,2,3,40,en
2021-11-08 21:07:49+00:00,1457817157736095744,"""Those boys performed so beautifully, and it's something I'm proud of."" Director Francis Ford Coppola speaks about what fans can look forward to in the new cut of The Outsiders: The Complete Novel, coming to 4K Ultra HD and Digital tomorrow. https://t.co/WpbEtoPtPb",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1457817157736095744,8,23,96,en
2021-11-08 21:01:58+00:00,1457815684944125960,Every day is a good day to watch Purple Rain. ☔️ What's your favorite Prince song in the movie? 💜 https://t.co/S3d5o3Izqi,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1457815684944125960,34,35,237,en
2021-11-08 20:30:19+00:00,1457807718979358721,"""The real test of honor isn't how you die. It's how you live.“

Own Superman: The Complete Animated Series on Digital HD and Blu-ray Today!
https://t.co/JkMfXe2LM4 https://t.co/9lIrClRtW8",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1457807718979358721,62,278,2188,en
2021-11-08 20:05:17+00:00,1457801417456906242,@wbpictures @tiktok_us 👏👏👏,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1457801417456906242,0,1,18,und
2021-11-08 20:03:46+00:00,1457801038346342401,"@WBPictures 🤝 @WBHomeEnt 
TikTok: WarnerBrosMovies

Follow us on @tiktok_us as we share challenges, live events, and everyone's favorite movies. Warner Bros. 💙 Movies! https://t.co/p42Dx0J4Yd",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1457801038346342401,3,2,25,en
2021-11-05 23:42:30+00:00,1456768917330931713,"A true renaissance man. Celebrate #50yearsofClintEastwood and his filmmaking with Warner Bros. Studio. Own the 9-part documentary series chronicling Eastwood's storied career, Clint Eastwood: A Cinematic Legacy on Digital now - https://t.co/eeNTtutwp3 https://t.co/w6IXLijq6G",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1456768917330931713,4,24,101,en
2021-11-03 20:00:34+00:00,1455988293561110532,Retweet this only if you're feeling sssssssssSMOKIN'. #TheMask https://t.co/kp0MXywn24,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455988293561110532,5,66,245,en
2021-11-03 19:30:14+00:00,1455980656719286282,Own #TheMatrix Trilogy on Digital today. Watch #TheMatrixResurrections in Theaters and on HBO Max 12.22.21,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455980656719286282,3,23,140,en
2021-11-03 19:30:13+00:00,1455980653326082051,Neo is The One. https://t.co/xOe7Mo5voE,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455980653326082051,33,324,1664,en
2021-11-03 18:30:15+00:00,1455965563562385415,Our host @Tiffany_Smith discovers what's hiding in Constantine's arsenal. Uncover the treasures and watch the full video of #TheArchiveUnboxed on our YouTube channel here: https://t.co/nIJeKNAOKC https://t.co/Ks467QYIw6,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455965563562385415,4,13,70,en
2021-11-02 21:00:32+00:00,1455640993987010562,"The battle has just begun. Own Kung Fu: The Complete First Season on Blu-ray and DVD Today!
https://t.co/QUubMTMdka https://t.co/q0hodz60Zt",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455640993987010562,3,6,59,en
2021-11-02 19:30:01+00:00,1455618217288863746,"""They say nothing lasts forever; dreams change, trends come and go, but friendships never go out of style."" Own Sex and the City: The Complete Series on Blu-ray for the First Time Ever!! https://t.co/d6DpY7XAGk https://t.co/RyMcmS4YDf",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455618217288863746,5,8,51,en
2021-11-02 17:16:14+00:00,1455584547945566213,"Happy birthday, David Schwimmer! https://t.co/3bLvqwc6Lw",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455584547945566213,12,28,376,en
2021-11-01 20:03:10+00:00,1455264171474538497,Own #TheMatrix Trilogy on Digital today. Watch #TheMatrixResurrections in Theaters and on HBO Max 12.22.21,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455264171474538497,2,7,60,en
2021-11-01 20:03:10+00:00,1455264170014912517,It's for you. https://t.co/KTHR5WCQTM,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455264170014912517,12,25,182,en
2021-11-01 18:00:15+00:00,1455233238092468226,"Everything is not as it seems. Own #MalignantMovie now. Watch instantly.
https://t.co/snCzPllpNt https://t.co/rJg94N17t8",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455233238092468226,7,7,61,en
2021-11-01 17:16:22+00:00,1455222192531181577,"Go ahead, make our day — tell us which Clint Eastwood you are right now. Join the #50yearsofClintEastwood celebration and own the 9-part documentary series, Clint Eastwood: A Cinematic Legacy on Digital 11/5 - https://t.co/eeNTtutwp3 https://t.co/EHEu8FUW7q",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1455222192531181577,6,6,43,en
2021-10-30 18:00:02+00:00,1454508406971240456,Weekend watch recommendation: Annabelle (2014). The second installment in #TheConjuringUniverse brought a new level of horror to the franchise. What's the scariest scene? https://t.co/YdMLMrvohB,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1454508406971240456,5,9,72,en
2021-10-29 21:13:59+00:00,1454194830989565956,Horror has a name: Jason. What's your favorite film in the Friday the 13th franchise? https://t.co/8j1IbhqnWW,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1454194830989565956,33,12,191,en
